ENV;CLONE;REP;ATR;FIBRA;TCH;TAH
UAV;G05;4;125.07;13.1;67.1;8.392197
UAV;G06;1;136.14;13.78;79.7;10.850358
UAV;G06;2;125.1;13.8;84.6;10.58346
UAV;G06;3;126.86;13.45;90.8;11.518888
UAV;G06;4;109.22;13.48;71.6;7.820152
UAV;G07;1;129.54;12.4;97.9;12.681966
UAV;G07;2;129.14;11.91;97;12.52658
UAV;G07;3;147.78;12.85;76.5;11.30517
UAV;G07;4;122.47;13.21;70;8.5729
UAV;G08;1;123.17;13.52;72.3;8.905191
UAV;G08;2;124.88;13.18;86.8;10.839584
UAV;G08;3;138.08;12.71;84.5;11.66776
UAV;G08;4;119;13.82;68.2;8.1158
UAV;G09;1;120.26;12.44;63.5;7.63651
UAV;G09;2;135.29;12.19;46.3;6.263927
UAV;G09;3;126.22;11.73;64.1;8.090702
UAV;G09;4;110.72;11.96;74.5;8.24864
UAV;G10;1;125.53;15.92;53.6;6.728408
UAV;G10;2;120.65;15.25;64.8;7.81812
UAV;G10;3;111.88;14.72;75.1;8.402188
UAV;G10;4;115.28;13.98;64.3;7.412504
UAV;G11;1;137.24;12.79;85.7;11.761468
UAV;G11;2;146.28;12.07;106.6;15.593448
UAV;G11;3;147.4;12.02;103.9;15.31486
UAV;G11;4;151.42;11.65;97;14.68774
UIR;G01;1;158.21;13.19;96.2;15.219802
UIR;G01;2;137.28;14.59;87;11.94336
UIR;G01;3;147.02;14.74;82.6;12.143852
UIR;G01;4;150.48;14.21;59.5;8.95356
UIR;G02;1;116.54;14.03;98.1;11.432574
UIR;G02;2;113.31;13.2;74.7;8.464257
UIR;G02;3;128.07;14.22;63.3;8.106831
UIR;G02;4;134.54;12.97;79.8;10.736292
UIR;G03;1;125.59;17.36;74.8;9.394132
UIR;G03;2;138.34;15.27;60.4;8.355736
UIR;G03;3;158.02;14.04;79.2;12.515184
UIR;G03;4;164.27;14.24;81.4;13.371578
UIR;G04;1;133.51;13.91;104.1;13.898391
UIR;G04;2;132.2;13.79;95.4;12.61188
UIR;G04;3;146.15;14.31;94.2;13.76733
